cella,variante,f_hz,amp,gm,rl,grandezza,uscita,picco_V,t_picco_s,finestra_s,esito,nota
mai,rif,1000,3.818,10,100k,C_pav,MAINJACK,0.0009621,1.089979,,sotto,"pavimento di C a 1.000 s, cond 1"
mai,rif,1000,3.818,10,100k,C_pav,MAINJACK,0.0009621,8.540979,,sotto,"pavimento di C a 8.500 s, cond 1"
mai,rif,1000,3.818,10,100k,C_pav,FIXJACK1,7.266e-05,1.142198,,sotto,"pavimento di C a 1.000 s, cond 1"
mai,rif,1000,3.818,10,100k,C_pav,FIXJACK1,7.266e-05,8.509198,,sotto,"pavimento di C a 8.500 s, cond 1"
mai,rif,1000,3.818,10,100k,C_pav,FIXJACK2,7.266e-05,1.142198,,sotto,"pavimento di C a 1.000 s, cond 1"
mai,rif,1000,3.818,10,100k,C_pav,FIXJACK2,7.266e-05,8.509198,,sotto,"pavimento di C a 8.500 s, cond 1"
sempre,rif,1000,3.818,10,100k,B1,MAINJACK,5.762e-08,7.127167,,sotto,"riferimento sempre in mute, da 0,5 s"
sempre,rif,1000,3.818,10,100k,B1,FIXJACK1,1.831e-08,14.025167,,sotto,"riferimento sempre in mute, da 0,5 s"
sempre,rif,1000,3.818,10,100k,B1,FIXJACK2,1.831e-08,16.916167,,sotto,"riferimento sempre in mute, da 0,5 s"
ev,ldr_v3_td6,1000,3.818,10,100k,A_ins,MAINJACK,12.71,1.000021,2.000,SOPRA,riferimento sempre
ev,ldr_v3_td6,1000,3.818,10,100k,A_rel,MAINJACK,12.71,8.500021,2.000,SOPRA,riferimento mai
ev,ldr_v3_td6,1000,3.818,10,100k,B2,MAINJACK,2.855e-07,7.529365,,sotto,mute da t_ins+t_grad+20 ms a t_rel
ev,ldr_v3_td6,1000,3.818,10,100k,C1_ins,MAINJACK,0.002505,2.353969,,SOPRA,"diagnostica, cond 1"
ev,ldr_v3_td6,1000,3.818,10,100k,C1_rel,MAINJACK,0.002561,11.804417,,SOPRA,"diagnostica, cond 1"
ev,ldr_v3_td6,1000,3.818,10,100k,C2_ins,MAINJACK,0.002505,2.353969,,SOPRA,"riferimento sempre, cond 1"
ev,ldr_v3_td6,1000,3.818,10,100k,C2_rel,MAINJACK,0.003414,11.804958,,SOPRA,"riferimento mai, cond 1"
ev,ldr_v3_td6,1000,3.818,10,100k,A_ins,FIXJACK1,4.033,1.000021,2.000,SOPRA,riferimento sempre
ev,ldr_v3_td6,1000,3.818,10,100k,A_rel,FIXJACK1,4.033,8.500021,2.000,SOPRA,riferimento mai
ev,ldr_v3_td6,1000,3.818,10,100k,B2,FIXJACK1,9.845e-08,7.527365,,sotto,mute da t_ins+t_grad+20 ms a t_rel
ev,ldr_v3_td6,1000,3.818,10,100k,C1_ins,FIXJACK1,0.0006044,2.353958,,sotto,"diagnostica, cond 1"
ev,ldr_v3_td6,1000,3.818,10,100k,C1_rel,FIXJACK1,0.0008137,11.804917,,sotto,"diagnostica, cond 1"
ev,ldr_v3_td6,1000,3.818,10,100k,C2_ins,FIXJACK1,0.0006044,2.353958,,sotto,"riferimento sempre, cond 1"
ev,ldr_v3_td6,1000,3.818,10,100k,C2_rel,FIXJACK1,0.0008807,11.804927,,sotto,"riferimento mai, cond 1"
ev,ldr_v3_td6,1000,3.818,10,100k,A_ins,FIXJACK2,4.033,1.000021,2.000,SOPRA,riferimento sempre
ev,ldr_v3_td6,1000,3.818,10,100k,A_rel,FIXJACK2,4.033,8.500021,2.000,SOPRA,riferimento mai
ev,ldr_v3_td6,1000,3.818,10,100k,B2,FIXJACK2,9.845e-08,7.527365,,sotto,mute da t_ins+t_grad+20 ms a t_rel
ev,ldr_v3_td6,1000,3.818,10,100k,C1_ins,FIXJACK2,0.0006044,2.353958,,sotto,"diagnostica, cond 1"
ev,ldr_v3_td6,1000,3.818,10,100k,C1_rel,FIXJACK2,0.0008137,11.804917,,sotto,"diagnostica, cond 1"
ev,ldr_v3_td6,1000,3.818,10,100k,C2_ins,FIXJACK2,0.0006044,2.353958,,sotto,"riferimento sempre, cond 1"
ev,ldr_v3_td6,1000,3.818,10,100k,C2_rel,FIXJACK2,0.0008807,11.804927,,sotto,"riferimento mai, cond 1"
rele,rele_contro_norele,1000,3.818,10,100k,A_ins,MAINJACK,0.0001248,7.501458,1.000,SOPRA,riferimento norele
rele,rele_contro_norele,1000,3.818,10,100k,A_rel,MAINJACK,6.532e-05,8.500438,2.000,sotto,riferimento norele
rele,rele_contro_norele,1000,3.818,10,100k,B2,MAINJACK,2.855e-07,7.529365,,sotto,mute da t_ins+t_grad+20 ms a t_rel
rele,rele_contro_norele,1000,3.818,10,100k,C1_ins,MAINJACK,6.679e-05,7.500302,,sotto,"diagnostica, cond 1"
rele,rele_contro_norele,1000,3.818,10,100k,C1_rel,MAINJACK,5.641e-05,8.500396,,sotto,"diagnostica, cond 1"
rele,rele_contro_norele,1000,3.818,10,100k,C2_ins,MAINJACK,6.68e-05,7.500302,,sotto,"riferimento norele, cond 1"
rele,rele_contro_norele,1000,3.818,10,100k,C2_rel,MAINJACK,5.649e-05,8.500396,,sotto,"riferimento norele, cond 1"
rele,rele_contro_norele,1000,3.818,10,100k,A_ins,FIXJACK1,3.967e-05,7.501458,1.000,"sotto, finestra corta: non accetta",riferimento norele
rele,rele_contro_norele,1000,3.818,10,100k,A_rel,FIXJACK1,2.073e-05,8.500438,2.000,sotto,riferimento norele
rele,rele_contro_norele,1000,3.818,10,100k,B2,FIXJACK1,9.845e-08,7.527365,,sotto,mute da t_ins+t_grad+20 ms a t_rel
