
Note: No compatibility mode selected!


Circuit: tb_v2_casopeggiore.cir - v2 al jack, il caso peggiore col mute reale: ldr vtl5c4 v4 a monte e rele' al jack, guadagno, trim, dispersione, accensione (l29c, nc-028)

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Last Node Voltages
------------------

Node                                   Last Voltage        Previous Iter
----                                   ------------        -------------
vplus                                            15                   15
vminus                                          -15                  -15
namp                                              0                    0
nfrq                                           1000                 1000
nphs                                         1.5708               1.5708
nten                                            0.3                  0.3
src                                               0                    0
sela                                            nan                  nan
ntijk                                           -10                  -10
ntrjk                                          1000                 1000
ntgjk                                             1                    1
nmhjk                                             1                    1
sjkr                                              1                    1
sjk                                     0.000251121          0.000251121
ntipre                                         1000                 1000
ntrpre                                         2000                 2000
ntgpre                                            1                    1
nmhpre                                            1                    1
sprer                                             0                    0
spre                                              0                    0
ntiser                                         1000                 1000
ntrser                                         2000                 2000
ntgser                                            1                    1
nmhser                                            1                    1
sserr                                             0                    0
sser                                              0                    0
ntisel                                         1000                 1000
ntrsel                                         2000                 2000
ntgsel                                            1                    1
nmhsel                                            1                    1
sselr                                             0                    0
ssel                                              0                    0
ina                                             nan                  nan
inax                                            nan                  nan
xa.nref                                         nan                  nan
xa.ncasc                                        nan                  nan
xa.nx                                           nan                  nan
xa.nhi                                          nan                  nan
outa                                            nan                  nan
fba                                             nan                  nan
xa.nrefm                                        nan                  nan
xa.d1n                                          nan                  nan
xa.g1                                           nan                  nan
xa.s1                                           nan                  nan
xa.d2n                                          nan                  nan
xa.g2                                           nan                  nan
xa.s2                                           nan                  nan
xa.src                                          nan                  nan
xa.nte                                          nan                  nan
xa.nmiri                                        nan                  nan
xa.nme1                                         nan                  nan
xa.nme2                                         nan                  nan
xa.nve                                          nan                  nan
xa.ny                                           nan                  nan
xa.nvle                                         nan                  nan
xa.nbb                                          nan                  nan
xa.nbn                                          nan                  nan
xa.nen                                          nan                  nan
xa.nbp                                          nan                  nan
xa.nep                                          nan                  nan
rga                                             nan                  nan
rg10a                                           nan                  nan
w                                               nan                  nan
f1in                                            nan                  nan
xf1.nref                                        nan                  nan
xf1.ncasc                                       nan                  nan
xf1.nx                                          nan                  nan
xf1.nhi                                         nan                  nan
outf1                                           nan                  nan
fbf1                                            nan                  nan
xf1.nrefm                                       nan                  nan
xf1.d1n                                         nan                  nan
xf1.g1                                          nan                  nan
xf1.s1                                          nan                  nan
xf1.d2n                                         nan                  nan
